question_id	question_rank	document_title	paragraph_index
1	1	Russian_Soviet_Federative_Socialist_Republic	27
1	2	Protestantism	18
1	3	Russian_Soviet_Federative_Socialist_Republic	12
1	4	Franco-Prussian_War	51
1	5	Russian_Soviet_Federative_Socialist_Republic	6
4	1	Carnival	46
4	2	Greeks	38
4	3	Oklahoma_City	68
4	4	Nintendo_Entertainment_System	39
4	5	Institute_of_technology	12
7	1	Beyoncé	16
7	2	Beyoncé	54
7	3	Beyoncé	64
7	4	Beyoncé	14
7	5	Beyoncé	50
10	1	Roman_Republic	26
10	2	Armenia	27
10	3	Roman_Republic	45
10	4	San_Diego	43
10	5	Madrasa	29
13	1	Dominican_Order	27
13	2	Lighting	46
13	3	Sahara	12
13	4	Jehovah%27s_Witnesses	24
13	5	Zhejiang	19
16	1	Oklahoma_City	11
16	2	Planck_constant	19
16	3	New_York_City	37
16	4	Houston	10
16	5	Israel	39
19	1	Oklahoma_City	71
19	2	BeiDou_Navigation_Satellite_System	14
19	3	Xbox_360	4
19	4	Xbox_360	10
19	5	Xbox_360	24
22	1	Neptune	28
22	2	Unicode	17
22	3	Multiracial_American	15
22	4	MP3	39
22	5	Asthma	4
25	1	Everton_F.C.	23
25	2	CBC_Television	8
25	3	East_Prussia	23
25	4	Marshall_Islands	13
25	5	Szlachta	4
28	1	Friedrich_Hayek	1
28	2	New_Delhi	8
28	3	Friedrich_Hayek	19
28	4	British_Empire	9
28	5	Philadelphia	38
31	1	Royal_assent	11
31	2	Sahara	7
31	3	Near_East	2
31	4	Immaculate_Conception	16
31	5	Protestantism	33
34	1	New_York_City	30
34	2	The_Bronx	7
34	3	New_York_City	119
34	4	General_Electric	15
34	5	New_York_City	0
37	1	Hellenistic_period	74
37	2	Federal_Bureau_of_Investigation	31
37	3	Federal_Bureau_of_Investigation	26
37	4	Szlachta	50
37	5	Dutch_Republic	11
40	1	Zinc	18
40	2	Poultry	12
40	3	Zinc	30
40	4	Zinc	28
40	5	Zinc	2
43	1	University	24
43	2	Madrasa	14
43	3	University	26
43	4	Middle_Ages	55
43	5	The_Times	46
46	1	Crimean_War	50
46	2	Alsace	1
46	3	Iran	35
46	4	Madrasa	5
46	5	British_Isles	21
49	1	The_Blitz	11
49	2	Greece	11
49	3	Estonia	4
49	4	Middle_Ages	34
49	5	Greece	50
52	1	BeiDou_Navigation_Satellite_System	29
